fecha_resultado,Peru
2021-01-25,6791
2021-01-26,6336
2021-01-27,5860
2021-01-28,6796
2021-01-29,6703
2021-01-30,5720
2021-01-31,3648
2021-02-01,8440
2021-02-02,8491
2021-02-03,7549
2021-02-04,8331
2021-02-05,8481
2021-02-06,6949
2021-02-07,4263
2021-02-08,7975
2021-02-09,7857
2021-02-10,7920
2021-02-11,7950
2021-02-12,6833
2021-02-13,6995
2021-02-14,2548
2021-02-15,7633
2021-02-16,7948
2021-02-17,8340
2021-02-18,7048
2021-02-19,6615
2021-02-20,6310
2021-02-21,2984
2021-02-22,7493
2021-02-23,7165
2021-02-24,7665
2021-02-25,7456
2021-02-26,7744
2021-02-27,5727
2021-02-28,2607
2021-03-01,7192
2021-03-02,6800
2021-03-03,6798
2021-03-04,6631
2021-03-05,7213
2021-03-06,6492
2021-03-07,2656
2021-03-08,7576
2021-03-09,7255
2021-03-10,7299
2021-03-11,7514
2021-03-12,6509
2021-03-13,5000
2021-03-14,3633
2021-03-15,9322
2021-03-16,7719
2021-03-17,7563
2021-03-18,8026
2021-03-19,8967
2021-03-20,7377
2021-03-21,4243
2021-03-22,11962
2021-03-23,9204
2021-03-24,9491
2021-03-25,8533
2021-03-26,8344
2021-03-27,8465
2021-03-28,3255
2021-03-29,10004
2021-03-30,10326
2021-03-31,10470
2021-04-01,7560
2021-04-02,5559
2021-04-03,9667
2021-04-04,5902
2021-04-05,12446
2021-04-06,9635
2021-04-07,9786
2021-04-08,10087
2021-04-09,9295
2021-04-10,8027
2021-04-11,2811
2021-04-12,9395
2021-04-13,9061
2021-04-14,8869
2021-04-15,8994
2021-04-16,10235
2021-04-17,7635
2021-04-18,2897
2021-04-19,8822
2021-04-20,7409
2021-04-21,8204
2021-04-22,8817
2021-04-23,8718
2021-04-24,7307
2021-04-25,3724
2021-04-26,8435
2021-04-27,7555
2021-04-28,6683
2021-04-29,7274
2021-04-30,7157
2021-05-01,3776
2021-05-02,2444
2021-05-03,6210
2021-05-04,6326
2021-05-05,6735
2021-05-06,6431
2021-05-07,6426
2021-05-08,4775
2021-05-09,1584
2021-05-10,7354
2021-05-11,6191
2021-05-12,5788
2021-05-13,5706
2021-05-14,5736
2021-05-15,4928
2021-05-16,2157
2021-05-17,5815
2021-05-18,5632
2021-05-19,5122
2021-05-20,5122
2021-05-21,4908
2021-05-22,3894
2021-05-23,1396
2021-05-24,5174
2021-05-25,4914
2021-05-26,4410
2021-05-27,4060
2021-05-28,4180
2021-05-29,3649
2021-05-30,1202
2021-05-31,4373
2021-06-01,4027
2021-06-02,4008
2021-06-03,3642
2021-06-04,3859
2021-06-05,2985
2021-06-06,736
2021-06-07,3420
2021-06-08,3100
2021-06-09,3365
2021-06-10,2875
2021-06-11,3078
2021-06-12,2498
2021-06-13,833
2021-06-14,3850
2021-06-15,6703
2021-06-16,3498
2021-06-17,3117
2021-06-18,3182
2021-06-19,2516
2021-06-20,729
2021-06-21,3594
2021-06-22,3201
2021-06-23,2657
2021-06-24,2566
2021-06-25,2678
2021-06-26,2301
2021-06-27,892
2021-06-28,3800
2021-06-29,1002
2021-06-30,2676
2021-07-01,2549
2021-07-02,2769
2021-07-03,2115
2021-07-04,484
2021-07-05,2580
2021-07-06,2281
2021-07-07,2318
2021-07-08,2210
2021-07-09,1884
2021-07-10,1749
2021-07-11,656
2021-07-12,2101
2021-07-13,1929
2021-07-14,2108
2021-07-15,1749
2021-07-16,1900
2021-07-17,1445
2021-07-18,498
2021-07-19,1864
2021-07-20,1591
2021-07-21,1520
2021-07-22,1510
2021-07-23,1490
2021-07-24,1321
2021-07-25,441
2021-07-26,1467
2021-07-27,1329
2021-07-28,584
2021-07-29,658
2021-07-30,1460
2021-07-31,1117
2021-08-01,434
2021-08-02,1510
2021-08-03,1416
2021-08-04,1254
2021-08-05,1436
2021-08-06,1358
2021-08-07,1081
2021-08-08,418
2021-08-09,1294
2021-08-10,1317
2021-08-11,1443
2021-08-12,1187
2021-08-13,1163
2021-08-14,882
2021-08-15,382
2021-08-16,1276
2021-08-17,710
